,,Total,2165,DIV 4,,,,,,DIV 7,,,,,,DIV 14,,,,,,DIV 21,,,,,,DIV 28,,,,,
,,,,2/19/2020 (A),,2/19/20 (D),,43912,,43484,,43873,,43875,,43811,,43489,,43592,,43453,,43496,,2/6/20 + 2/25/20,,43503,,2/13/20 (YO),,2/13/20 (BL),
Acc #,Protein Name,Gene,,N=1 Ctrl,N=1 Nfasc,N=2 Ctrl,N=2 Nfasc,N=3 Ctrl,N=3 Nfasc,N=1 Ctrl,N=1 Nfasc,N=2 Ctrl,N=2 Nfasc,N=3 Ctrl,N=3 Nfasc,N=1 Ctrl,N=1 Nfasc,N=2 Ctrl,N=2 Nfasc,N=3 Ctrl,N=3 Nfasc,N=1 Ctrl,N=1 Nfasc,N=2 Ctrl,N=2 Nfasc,N=3 Ctrl,N=3 Nfasc,N=1 Ctrl,N=1 Nfasc,N=2 Ctrl,N=2 Nfasc,N=3 Ctrl,N=3 Nfasc
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5SWU9,Acetyl-CoA carboxylase 1,Acaca,,68,61,48,62,117,84,264,188,106,68,87,75,388,283,366,253,291,177,234,201,409,327,150,109,264,195,211,153,152,122
E9Q4Z2,Acetyl-CoA carboxylase 2,Acacb,,11,9,9,11,18,14,34,24,13,10,11,11,62,47,54,38,41,22,37,32,86,68,23,16,83,40,51,34,27,20
Q05920,"Pyruvate carboxylase, mitochondrial",Pc,,40,33,30,39,73,52,286,182,107,74,93,83,557,398,591,410,308,230,561,431,747,776,332,215,652,582,638,473,434,358
Q91ZA3,"Propionyl-CoA carboxylase alpha chain, mitochondrial",Pcca,,28,24,20,24,39,27,92,73,64,38,45,39,208,141,209,168,131,93,221,181,371,313,174,109,404,315,332,222,290,228
Q99MR8,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",Mccc1,,14,15,14,16,27,21,78,43,35,23,28,26,125,80,133,87,89,58,125,105,209,217,77,61,199,151,132,81,93,76
Q99MN9,"Propionyl-CoA carboxylase beta chain, mitochondrial",Pccb,,14,12,11,13,19,16,48,44,35,23,26,17,114,93,145,94,84,55,115,103,240,195,98,64,193,162,153,113,139,116
Q3ULD5,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",Mccc2,,5,3,4,5,9,7,37,25,16,9,12,8,109,80,73,46,47,30,103,87,89,92,39,28,105,71,60,36,33,27
P42208,Septin-2,sept2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q9Z1S5,Neuronal-specific septin-3,sept3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q9Z2Q6,Septin-5,sept5,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q9R1T4,Septin-6,sept6,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
O55131,Septin-7,sept7,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q8CHH9,Septin-8,sept8,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q80UG5,Septin-9,sept9,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q8C1B7,Septin-11,sept11,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Q8R0P4,Mth938 domain-containing protein,Aamdc,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8BGQ7,"Alanine--tRNA ligase, cytoplasmic",Aars,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,2,0.5,#N/A,#N/A,1,0.5,#N/A,#N/A,#N/A,#N/A
P61922,"4-aminobutyrate aminotransferase, mitochondrial",Abat,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,2,0.5,0.5,1,1,4,4,5,1,3,2,4,3,5,5,7,6
P41233,ATP-binding cassette sub-family A member 1,Abca1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6,0.5,6,0.5,0.5,0.5,10,0.5,3,0.5,0.5,0.5,0.5,0.5,5,0.5,0.5
Q61102,"ATP-binding cassette sub-family B member 7, mitochondrial",Abcb7,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P55096,ATP-binding cassette sub-family D member 3,Abcd3,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,1,0.5,0.5,2,0.5,2,1,2,1,0.5,0.5,1,2,1,1,0.5,0.5
P61222,ATP-binding cassette sub-family E member 1,Abce1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5
Q6P542,ATP-binding cassette sub-family F member 1,Abcf1,,0.5,0.5,0.5,0.5,0.5,0.5,9,5,0.5,2,0.5,0.5,3,0.5,1,0.5,1,1,1,1,1,0.5,2,0.5,3,0.5,2,1,0.5,0.5
Q91ZH7,Phospholipase ABHD3,Abhd3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,#N/A,#N/A,2,1,#N/A,#N/A,#N/A,#N/A
Q8CBW3,Abl interactor 1,Abi1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,2,0.5,0.5,0.5,1,0.5,4,0.5,1,0.5,3,0.5,0.5,0.5,1,0.5,1
P62484,Abl interactor 2,Abi2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,3,0.5,0.5,0.5,1,0.5,4,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5
Q8VCH0,"3-ketoacyl-CoA thiolase B, peroxisomal",Acaa1b,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8BWT1,"3-ketoacyl-CoA thiolase, mitochondrial",Acaa2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8JZN5,"Acyl-CoA dehydrogenase family member 9, mitochondrial",Acad9,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,2,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P51174,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",Acadl,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q07417,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",Acads,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9DBL1,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",Acadsb,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P50544,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",Acadvl,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,5,0.5,0.5,0.5,4,1,1,0.5,0.5,0.5
Q8QZT1,"Acetyl-CoA acetyltransferase, mitochondrial",Acat1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,1,6,4,0.5,1,2,1,2,4,4,4,3,3,1,0.5,2,1,4,3
Q8BMP6,Golgi resident protein GCP60,Acbd3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P09470,Angiotensin-converting enzyme,Ace,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A
Q9JIX8,Apoptotic chromatin condensation inducer in the nucleus,Acin1,,1,1,1,2,3,1,8,7,1,2,4,4,2,2,3,2,4,2,1,0.5,2,0.5,3,1,2,1,1,0.5,2,1
O08707,Atypical chemokine receptor 2,Ackr2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q91V92,ATP-citrate synthase,Acly,,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5
P28271,Cytoplasmic aconitate hydratase,Aco1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q99KI0,"Aconitate hydratase, mitochondrial",Aco2,,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,2,0.5,11,5,2,4,4,1,11,5,6,3,16,9,8,6,16,6,27,22
Q91V12,Cytosolic acyl coenzyme A thioester hydrolase,Acot7,,0.5,0.5,0.5,0.5,0.5,0.5,1,2,1,0.5,0.5,0.5,5,3,1,2,4,2,1,0.5,6,3,2,1,2,0.5,1,1,1,1
Q9R0X4,"Acyl-coenzyme A thioesterase 9, mitochondrial",Acot9,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,2,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,2
Q9D358,Low molecular weight phosphotyrosine protein phosphatase,Acp1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,2,0.5,0.5,0.5
Q99PU5,Long-chain-fatty-acid--CoA ligase ACSBG1,Acsbg1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5
Q8VCW8,"Acyl-CoA synthetase family member 2, mitochondrial",Acsf2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,1,0.5,#N/A,#N/A,#N/A,#N/A
Q14DH7,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",Acss3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P68134,"Actin, alpha skeletal muscle",Acta1,,14,10,12,13,11,12,23,21,14,11,12,12,33,29,26,21,43,25,26,25,55,87,18,16,30,21,19,15,11,11
P62737,"Actin, aortic smooth muscle",Acta2,,13,10,11,13,11,11,20,21,13,9,11,11,23,23,21,16,36,20,19,21,48,82,17,15,25,18,16,14,10,11
P60710,"Actin, cytoplasmic 1",Actb,,29,21,23,32,23,25,39,43,39,26,30,27,48,47,41,37,64,48,40,41,88,127,53,33,49,38,60,44,36,45
Q8BFZ3,Beta-actin-like protein 2,Actbl2,,12,8,9,10,9,8,15,18,11,6,9,9,12,14,10,11,26,16,11,15,32,36,13,10,19,15,14,10,9,11
P68033,"Actin, alpha cardiac muscle 1",Actc1,,14,10,12,13,11,12,23,21,14,11,12,12,33,29,26,21,43,25,26,25,55,87,18,16,30,21,19,15,11,11
P63260,"Actin, cytoplasmic 2",Actg1,,28,20,22,31,22,24,39,43,38,25,29,26,47,46,40,36,63,47,39,40,89,126,53,33,48,37,61,44,34,44
P63268,"Actin, gamma-enteric smooth muscle",Actg2,,13,10,11,13,11,11,20,21,13,9,11,11,23,23,21,16,36,20,19,21,48,82,17,15,25,18,16,14,10,11
Q7TPR4,Alpha-actinin-1,Actn1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P61164,Alpha-centractin,Actr1a,,0.5,0.5,0.5,1,0.5,0.5,0.5,1,1,1,1,1,2,2,0.5,1,2,1,2,2,2,3,2,0.5,1,1,4,2,2,2
